"","datasetName","decimalLatitude","decimalLongitude","Year","Month","individualCount","vernacularName","pa"
"5797","NEFSC Right Whale Aerial Survey",42.60867,-69.46308,"2011","06","1","Basking shark",1
"5798","NEFSC Right Whale Aerial Survey",43.123,-69.88919,"2003","06","1","Basking shark",1
"5799","NEFSC Right Whale Aerial Survey",42.8367,-69.65881,"2009","07","1","Basking shark",1
"5800","NEFSC Right Whale Aerial Survey",42.00431,-68.7659,"2015","05","1","Basking shark",1
"5801","NEFSC Right Whale Aerial Survey",44.16649,-67.41543,"2007","10","1","Basking shark",1
"5802","NEFSC Right Whale Aerial Survey",43.40676,-68.38768,"2006","10","1","Basking shark",1
"5803","NEFSC Right Whale Aerial Survey",41.67867,-68.56456,"2005","08","1","Basking shark",1
"5804","NEFSC Right Whale Aerial Survey",42.78872,-69.45391,"2012","05","1","Basking shark",1
"5805","NEFSC Right Whale Aerial Survey",42.12647,-69.56306,"2012","07","1","Basking shark",1
"5806","NEFSC Right Whale Aerial Survey",42.60903,-69.30328,"2009","07","1","Basking shark",1
"5807","NEFSC Right Whale Aerial Survey",41.73983,-69.27834,"2006","09","1","Basking shark",1
"5808","AMAPPS Northeast Aerial Cruise Fall 2012",40.755898,-70.110603,"2012","10","1","basking shark",1
"5809","NEFSC Twin Otter Aerial Survey 2008",43.546,-69.094,"2008","08","1","basking shark",1
"5810","NEFSC Right Whale Aerial Survey",42.25288,-69.03071,"2014","06","1","Basking shark",1
"5811","NEFSC Right Whale Aerial Survey",42.19773,-69.00975,"2014","06","1","Basking shark",1
"5812","NEFSC Right Whale Aerial Survey",42.32563,-68.72857,"2013","06","1","Basking shark",1
"5813","NEFSC Aerial Circle-Back Abundance Survey 2004",43.273,-69.72447,"2004","06","1","basking shark",1
"5814","NEFSC Right Whale Aerial Survey",42.39834,-66.90132,"2011","06","1","Basking shark",1
"5815","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.63,-72.0987,"2017","08","1","basking shark",1
"5816","NEFSC Right Whale Aerial Survey",42.26707,-67.49441,"2016","06","1","Basking shark",1
"5817","NEFSC Aerial Circle-Back Abundance Survey 2006",42.98,-68.51,"2006","08","1","basking shark",1
"5818","NEFSC Right Whale Aerial Survey",40.47405,-70.87395,"2004","06","1","Basking shark",1
"5819","NEFSC Right Whale Aerial Survey",42.56995,-68.98035,"2011","06","1","Basking shark",1
"5820","AMAPPS Northeast Aerial Cruise Summer 2016",42.376423,-67.719116,"2016","08","1","basking shark",1
"5821","NEFSC Right Whale Aerial Survey",41.71271,-68.8693,"2013","05","1","Basking shark",1
"5822","NEFSC Right Whale Aerial Survey",41.90763,-68.70734,"2002","06","1","Basking shark",1
"5823","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.6945,-71.767,"2017","08","1","basking shark",1
"5824","NEFSC Right Whale Aerial Survey",42.48106,-68.9752,"2014","06","1","Basking shark",1
"5825","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.6257,-73.0772,"2017","08","1","basking shark",1
"5826","NEFSC Right Whale Aerial Survey",40.65158,-69.99975,"2003","07","1","Basking shark",1
"5827","NEFSC Right Whale Aerial Survey",42.16435,-68.50657,"2014","06","1","Basking shark",1
"5828","NEFSC Right Whale Aerial Survey",41.69167,-69.44008,"2002","06","1","Basking shark",1
"5829","NEFSC Right Whale Aerial Survey",43.04323,-70.02264,"2015","06","1","Basking shark",1
"5830","NEFSC Right Whale Aerial Survey",42.52391,-69.43951,"2009","05","1","Basking shark",1
"5831","NEFSC Right Whale Aerial Survey",42.87891,-69.39485,"2015","05","1","Basking shark",1
"5832","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2016",40.1817,-72.2231,"2017","05","1","basking shark",1
"5833","NEFSC Right Whale Aerial Survey",41.90872,-67.76137,"2004","06","1","Basking shark",1
"5834","NEFSC Right Whale Aerial Survey",43.24318,-68.13551,"2014","06","1","Basking shark",1
"5835","NEFSC Right Whale Aerial Survey",42.17264,-68.76386,"2014","12","1","Basking shark",1
"5836","NEFSC Right Whale Aerial Survey",42.99349,-68.8706,"2015","05","1","Basking shark",1
"5837","AMAPPS Northeast Aerial Cruise Summer 2016",42.292416,-69.682701,"2016","09","1","basking shark",1
"5838","NEFSC Right Whale Aerial Survey",42.92854,-69.79666,"2011","06","1","Basking shark",1
"5839","NEFSC Right Whale Aerial Survey",43.84514,-67.89388,"2016","06","1","Basking shark",1
"5840","NEFSC Right Whale Aerial Survey",43.05725,-69.37944,"2012","05","1","Basking shark",1
"5841",NA,43.1452503204,-69.519744873,"2005","07",NA,NA,1
"5842","NEFSC Right Whale Aerial Survey",43.16661,-67.60022,"2015","06","8","Basking shark",1
"5843","NEFSC Right Whale Aerial Survey",41.99098,-68.13338,"2014","06","1","Basking shark",1
"5844","AMAPPS Northeast Aerial Cruise Summer 2021",42.139576,-69.499771,"2021","08","1","Basking shark",1
"5845","NEFSC Right Whale Aerial Survey",41.96015,-68.53663,"2016","05","1","Basking shark",1
"5846","NEFSC Right Whale Aerial Survey",41.92672,-69.16396,"2011","05","1","Basking shark",1
"5847","NEFSC Right Whale Aerial Survey",42.99253,-67.82217,"2015","06","1","Basking shark",1
"5848","NEFSC Right Whale Aerial Survey",41.7959,-69.26477,"2003","06","10","Basking shark",1
"5849","NEFSC Right Whale Aerial Survey",40.97592,-69.0808,"2002","05","1","Basking shark",1
"5850","NEFSC Right Whale Aerial Survey",42.27672,-68.57671,"2016","05","1","Basking shark",1
"5851","Empire Wind Digital Aerial Wildlife Surveys for BOEM Lease Area OCS-A 0512, Equinor Wind US LLC, February - December 2019",40.2551,-73.1411,"2019","09","1","basking shark",1
"5852","NEFSC Right Whale Aerial Survey",40.79012,-72.00641,"2004","06","1","Basking shark",1
"5853","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",42.28,-69.73,"2007","08","1","basking shark",1
"5854","AMAPPS Northeast Aerial Cruise Spring 2017",42.54974,-68.435959,"2017","06","1","basking shark",1
"5855","NEFSC Right Whale Aerial Survey",42.20222,-68.05385,"2014","06","1","Basking shark",1
"5856","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2018",40.6154,-71.7328,"2019","05","1","basking shark",1
"5857","NEFSC Right Whale Aerial Survey",41.7045,-69.409,"2002","06","1","Basking shark",1
"5858","NEFSC Right Whale Aerial Survey",42.05076,-67.6149,"2014","06","1","Basking shark",1
"5859","NEFSC Right Whale Aerial Survey",43.12786,-68.37056,"2010","11","1","Basking shark",1
"5860","NEFSC Right Whale Aerial Survey",41.41783,-69.199,"2003","06","1","Basking shark",1
"5861","NEFSC Right Whale Aerial Survey",41.88874,-68.30011,"2014","06","1","Basking shark",1
"5862","NEFSC Right Whale Aerial Survey",41.3175,-68.88783,"2005","08","1","Basking shark",1
"5863","NEFSC Right Whale Aerial Survey",42.29617,-69.07383,"2006","06","1","Basking shark",1
"5864","NEFSC Right Whale Aerial Survey",42.78222,-70.10329,"2012","06","1","Basking shark",1
"5865","NEFSC Right Whale Aerial Survey",42.56796,-68.85083,"2011","06","1","Basking shark",1
"5866","NEFSC Right Whale Aerial Survey",41.95,-70.374,"2005","09","1","Basking shark",1
"5867","NEFSC Right Whale Aerial Survey",41.83769,-69.63133,"2003","06","1","Basking shark",1
"5868","NEFSC Right Whale Aerial Survey",42.17433,-67.86319,"2015","06","1","Basking shark",1
"5869","NEFSC Right Whale Aerial Survey",43.87998,-67.63006,"2015","06","2","Basking shark",1
"5870","NEFSC Right Whale Aerial Survey",41.89119,-69.24673,"2016","06","1","Basking shark",1
"5871","NEFSC Right Whale Aerial Survey",41.33515,-69.22533,"2003","07","1","Basking shark",1
"5872","NEFSC Right Whale Aerial Survey",41.72404,-69.3245,"2003","05","1","Basking shark",1
"5873","NEFSC Right Whale Aerial Survey",41.94474,-68.00966,"2014","06","1","Basking shark",1
"5874","NEFSC Right Whale Aerial Survey",40.95483,-70.30157,"2015","05","1","Basking shark",1
"5875","NEFSC Right Whale Aerial Survey",41.65083,-69.316,"2004","05","1","Basking shark",1
"5876","NEFSC Right Whale Aerial Survey",42.13672,-68.13351,"2014","06","1","Basking shark",1
"5877","NEFSC Right Whale Aerial Survey",42.29683,-69.05214,"2014","06","1","Basking shark",1
"5878","AMAPPS Northeast Aerial Cruise Summer 2010",41.134911,-69.641785,"2010","09","1","basking shark",1
